camera,assigned_node_id,flow_edge_ids,flow_edge_count,all_edge_ids,all_edge_count
Garudamall_JN2_FIX-1,9363518171,1015024219,1,1015024219|325833350#0,2
Garudamall_JN4_HD-1,248459878,1015024215|1015024216#0|1015024219|1276784690#0|132191817#0,5,1015024215|1015024216#0|1015024219|1276784690#0|132191817#0,5
Mayohall_JN1_FIX_1,1232953300,1166571294,1,1166571294|638541502#0,2
Mayohall_JN2_FIX_1,cluster_11854316017_11854316018_11854316019_4044263600,1101271052#0|1166571294|638541500#0,3,1101271052#0|1166571294|1227562843|638541500#0|763405053,5
Mayohall_JN3_FIX_1,1232953258,,0,327639080|635340513,2
Brigade_Rd_St_Pat_Church_JN1_FIX_1,cluster1232963659_5372824878,-1466165198|1466165198|23029284-AddedOnRampEdge|764406992,4,-1466165198|1466165198|23029284-AddedOnRampEdge|764406991#0|764406992,5
Brigade_Rd_St_Pat_Church_JN2_FIX_1,1232963668,-1466165198|-172955372|1276784689|1466165198,4,-1466165198|-172955372|1276784689|1466165198,4
Commisrate_Rd_ftball_Stdm_JN1_FIX_1,11854316023,-172955372|1015024216#0|1276784689|1276784690#0,4,-172955372|1015024216#0|1276784689|1276784690#0,4
Commisrate_Rd_ftball_Stdm_JN3_FIX_1,1274338614,133632532#1|27007398#0|27007398#1,3,133632532#1|27007398#0|27007398#1,3
Life_Styl_JN2_FIX_1,cluster_12462507949_13462280316_4903183637_6017833824,132191817#0|133632532#1|23443806#2|36913433#0|766406977,5,132191817#0|133632532#1|23443806#2|36913433#0|766406977,5
Life_Styl_JN4_FIX_3,cluster_253890170_4044110245,57885669#0,1,-28449770#1|28449770#1|57885669#0,3
Vellara_JN3_FIX_1,248455472,171887405#1|23029281,2,171887405#1|171887405#3|23029281,3
Hosuru_Rd_Cmtry_JN1_FIX_1,cluster_10043357420_4294224252,1096873562,1,1096873562|1386556901,2
Johnson_Mrkt_JN2_FIX_1,2890442001,1151692614,1,1151692614|764329020,2
Commis_Rd_ftball_Stdm_JN2_FIX_1,11854316021,1015024215|27007398#0,2,1015024215|27007398#0,2
Life_Styl_JN1_HD_1,cluster_3268824710_4044110261,36913433#0|57885669#0|764329018#0,3,36913433#0|57885669#0|764329018#0,3
Life_Styl_JN1_PTZ_1,1598530796,133632534#0|766406977,2,133632534#0|766406977,2
Life_Styl_JN3_FIX_2,clustercluster_12460840938_12460840939_cluster_9870839712_9870882717,23443806#2|27007398#1|36853688#0,3,23443806#2|27007398#1|36853688#0,3
Old_PS_Crle_Nr_Giriyas_JN1_FIX_1,cluster_12460929618_263155275_9933265930,23029284|239572010#0|763290548#0,3,23029284|239572010#0|763290548#0,3
Richmond_Rd_Mthr_Tersa_Rd_JN1_FIX_1,23029284-AddedOnRampNode,23029284|23029284-AddedOnRampEdge,2,23029284|23029284-AddedOnRampEdge,2
Richmond_Rd_Mthr_Tersa_Rd_JN2_FIX_2,cluster_11919132703_12462507904,133632534#0|763175330#0|764329018#0,3,133632534#0|763175330#0|764329018#0,3
Vellara_JN1_FIX_1,4294218111,1056563196#0,1,1056563196#0|239441161#0,2
Vellara_JN2_PTZ_1,cluster_10043357422_10120806056_12460929706_13507201648_#3more,1056563196#0|1151692614|171887405#1|239572010#0|763175330#0,5,1056563196#0|1151692614|171887405#1|239572010#0|763175330#0,5
Richmond_Crlc_JN1_FIX_1,1067781007,1352261231|1452617367|1452617368,3,1352261231|1452617367|1452617368|28451729,4
Richmond_Crlc_JN2_FIX_1,13321896550,1452617366|1452617367|763175329#3,3,1452617365|1452617366|1452617367|763175329#3,4
Richmond_Crlc_JN3_FIX_1,428435133,763175329#3,1,763175329#0|763175329#3|91890603,3
Richmond_Crlc_JN4_FIX_1,428435131,1308734871|1452617366,2,1308734871|1452617366|36971492|91894181#0,4
KH_Rd_Cmg_frm_Mission_Rd_JN1_FIX_1,6991440387,766406230,1,132191815|747182858|766406230,3
KH_Rd_Cmg_frm_Mission_Rd_JN2_FIX_1,cluster_1067789550_248455441_428457189_6894860920,736430942|763282652,2,1109914957|1109914958|132191814|328836685#3|736430942|763282652,6
KH_Rd_Cmg_frm_Mission_Rd_JN2_FIX_2,12167359660,,0,132191813|36852353,2
KH_Rd_Nr_Madhutyres_JN2_FIX_1,1454651936,766406230,1,132191818|766406230,2
KH_Rd_JN_Nr_Madhutyres_JN3_FIX_1,cluster_cluster_1067789502_6894860921_cluster_1067789545_13343865545_13343865547,1352261231|36965407#0|736430942|763282652,4,-1379232589#1|1352261231|23018325#3|36965407#0|736430942|763282652,6
Hosuru_Rd_Cmtry_Rd_JN3_PTZ_1,4294218134,1096873562,1,-28126584|1096873562|28126584,3
Cash_Phrmcy_JN2_FIX_1,11496183647,461556535#3,1,1066870623#0|23029701#1|461556535#0|461556535#3,4
Bishop_Ctn_Grls_Schl_RsdncyRd_JN2_FIX_1,248455468,23029281|461556535#3|461556535#5,3,23029281|461556535#3|461556535#5,3
Ashirvadam_Crlc_RsdncyRd_JN1_FIX_1,248459877,1096797091#0|764406992,2,1096797091#0|763290547#0|764406992,3
Ashirvadam_Crlc_RsdncyRd_JN2_FIX_1,60952254,1096797091#0|1307397842#0|461556535#5|763290548#0,4,1096797091#0|1307397842#0|461556535#5|763290548#0,4
Balekundri_Circle_HD_1,663596611,26808007|52063533,2,26808007|503401206#0|52063533,3
Cubbon_Rd_BRV_FIX_1,cluster_10075533192_10075533193_10684915913_10684915914_#1more,763290544#0,1,107215088#0|1148395508#0|323813903#3|763290544#0,4
Cubbon_Rd_BRV_PTZ_1,254665681,763290544#0,1,52246044#0|763290544#0|763290544#1,3
Kamrarj_Rd_Cubbon_Rd_FIX_1,cluster_10123663917_12691279976_1837445457,36967993#1,1,1158621923#0|36967993#1|542070644#0|72099280#1,4
Kamrarj_Rd_Cubbon_Rd_FIX_2,36967993#1-AddedOnRampNode,36967993#1,1,36967993#1|36967993#1-AddedOnRampEdge,2
Balekundri_Circle_FIX_1,249082069,23076279#0|52063533,2,23076279#0|238459130-AddedOffRampEdge|52063533,3
Balekundri_Circle_FIX_2,clustercluster12484332871_1523537403_cluster_12803586900_12803624101_12827961143_9642156101_cluster_10601663791_12433045764,23076279#0|26808007|45444030#0,3,1210473310#0|1343714137#0|23076279#0|26808007|45444030#0,5
MuseumRd_Ganesha_Tmpl_FIX_1,423784673,1307397842#0|23029696,2,1307397842#0|23029696,2
MuseumRd_Ganesha_Tmpl_FIX_2,248459812,23029696,1,1102326203|23029696,2
MuseumRd_Ganesha_Tmpl_FIX_3,3355740080,,0,1125542419-AddedOffRampEdge|1304119370#0,2
High_Court_Entrance_FIX_1,428420790,224618934#2|224618934#3|36851745,3,224618934#2|224618934#3|36851745,3
High_Court_Entrance_FIX_2,663313892,1311251824#0|224618934#3,2,1311251824#0|224618934#3,2
In_Fnt_Halsurgate_PolcStn_PTZ_1,cluster12128943145_287793596_37898955#0-AddedOnRampNode,148016873#0|37898955#0-AddedOnRampEdge|461556532,3,-36897656#1|148016873#0|36897656#0|37898955#0-AddedOnRampEdge|461556532,5
In_Fnt_Halsurgate_PolcStn_HD_1,cluster245615180_249081348_cluster_12759084951_663313887,1311251824#0|148016866|154340361#1|22893740|52033011#3,5,1311251824#0|148016866|154340361#1|22893740|52033011#3,5
Bbmp_Bus_Stop_FIX_1,286679311,148016866|148016873#0|36897704#0,3,148016866|148016873#0|36897704#0,3
Bbmp_Bus_Stop_FIX_2,663313886,52033011#3|52033011#4-AddedOnRampEdge,2,52033011#3|52033011#4-AddedOnRampEdge,2
