camera,latitude,longitude,x,y,assigned_node_id,node_x,node_y,distance_m
Garudamall_JN2_FIX-1,12.9705,77.6102,3963.214672154514,3497.975618502591,9363518171,3972.77,3489.64,12.68017452779944
Garudamall_JN4_HD-1,12.9702,77.6103,3974.4100789906224,3464.8797127192374,248459878,3972.85,3488.72,23.891277573337547
Mayohall_JN1_FIX_1,12.9743,77.6111,4056.609147325158,3919.5976200264413,1232953300,4055.61,3864.7,54.90671161110378
Mayohall_JN2_FIX_1,12.9744,77.6111,4056.49581317883,3930.666624556994,cluster_11854316017_11854316018_11854316019_4044263600,4060.64,3928.53,4.66255819334285
Mayohall_JN3_FIX_1,12.9743,77.6111,4056.609147325158,3919.5976200264413,1232953258,4015.76,3831.48,97.12552597704035
Brigade_Rd_St_Pat_Church_JN1_FIX_1,12.971,77.6069,3604.414313104702,3549.6571969112847,cluster1232963659_5372824878,3616.94,3591.54,43.71569542815411
Brigade_Rd_St_Pat_Church_JN2_FIX_1,12.971,77.6069,3604.414313104702,3549.6571969112847,1232963668,3630.1,3596.24,53.19503787840811
Commisrate_Rd_ftball_Stdm_JN1_FIX_1,12.9688,77.6106,4008.5627487374004,3310.2470110061113,11854316023,3911.24,3503.72,216.57219325673486
Commisrate_Rd_ftball_Stdm_JN3_FIX_1,12.9688,77.6107,4019.418437858345,3310.3580951369368,1274338614,3997.78,3473.32,164.3922274000434
Life_Styl_JN2_FIX_1,12.9673,77.6111,4064.5404023773735,3144.767469902057,cluster_12462507949_13462280316_4903183637_6017833824,4069.61,3132.71,13.079885339495739
Life_Styl_JN4_FIX_3,12.9672,77.6113,4086.365201649023,3133.9206598438323,cluster_253890170_4044110245,4221.71,2532.46,616.5007216382189
Vellara_JN3_FIX_1,12.9663,77.6067,3588.018587866449,3029.193937209202,248455472,3282.36,2967.46,311.8304849431197
Hosuru_Rd_Cmtry_JN1_FIX_1,12.9549,77.6056,3481.4845456229523,1766.1138759916648,cluster_10043357420_4294224252,3441.78,1527.41,241.98345265031892
Johnson_Mrkt_JN2_FIX_1,12.9648,77.6067,3589.7145936582237,2863.159483865369,2890442001,3589.02,2819.09,44.074957385232494
